test_general_id,musical,professional,familiar_listening_tests,item_id,GT,value,playcount,certainty
27,1,1,1,4,4,3,2,1
27,1,1,1,5,2,2,2,0
27,1,1,1,6,3,2,3,1
27,1,1,1,7,6,4,2,2
27,1,1,1,8,4,3,1,2
27,1,1,1,9,5,4,2,1
27,1,1,1,10,3,3,1,2
27,1,1,1,11,1,1,1,2
27,1,1,1,12,2,3,2,2
28,0,0,1,1,1,1,1,1
28,0,0,1,2,6,2,2,1
28,0,0,1,3,5,2,2,1
28,0,0,1,4,4,2,1,2
28,0,0,1,5,2,2,1,1
28,0,0,1,6,3,2,1,1
28,0,0,1,7,6,2,1,1
28,0,0,1,8,4,3,1,1
28,0,0,1,9,5,2,2,2
28,0,0,1,10,3,2,1,2
28,0,0,1,11,1,1,2,2
28,0,0,1,12,2,2,1,1
29,1,1,1,1,1,1,1,1
29,1,1,1,2,6,4,3,0
29,1,1,1,3,5,4,1,0
29,1,1,1,4,4,3,3,0
29,1,1,1,5,2,2,2,1
29,1,1,1,6,3,3,2,0
29,1,1,1,7,6,4,2,0
29,1,1,1,8,4,3,3,0
29,1,1,1,9,5,4,2,0
29,1,1,1,10,3,3,2,1
29,1,1,1,11,1,0,2,1
29,1,1,1,12,2,2,3,1
30,0,1,1,1,1,1,2,2
30,0,1,1,2,6,3,3,0
30,0,1,1,3,5,3,3,0
30,0,1,1,4,4,2,3,1
30,0,1,1,5,2,2,2,1
30,0,1,1,6,3,2,1,0
30,0,1,1,7,6,4,3,1
30,0,1,1,8,4,3,3,2
30,0,1,1,9,5,3,3,1
30,0,1,1,10,3,3,2,1
30,0,1,1,11,1,1,1,2
30,0,1,1,12,2,2,2,0
31,0,1,1,1,1,1,2,1
31,0,1,1,2,6,4,2,0
31,0,1,1,3,5,4,2,0
31,0,1,1,4,4,4,2,0
31,0,1,1,5,2,2,2,1
31,0,1,1,6,3,4,2,0
31,0,1,1,7,6,4,2,1
31,0,1,1,8,4,3,2,1
31,0,1,1,9,5,3,1,0
31,0,1,1,10,3,3,3,1
31,0,1,1,11,1,1,1,2
31,0,1,1,12,2,2,2,1
32,0,0,0,1,1,1,2,2
32,0,0,0,2,6,2,2,1
32,0,0,0,3,5,3,3,1
32,0,0,0,4,4,3,3,1
32,0,0,0,5,2,2,3,1
32,0,0,0,6,3,2,1,1
32,0,0,0,7,6,3,3,2
32,0,0,0,8,4,3,2,1
32,0,0,0,9,5,3,3,1
32,0,0,0,10,3,3,2,1
32,0,0,0,11,1,1,1,2
32,0,0,0,12,2,2,3,1
33,1,1,1,1,1,1,2,1
33,1,1,1,2,6,5,3,0
33,1,1,1,3,5,4,3,0
33,1,1,1,4,4,3,3,0
33,1,1,1,5,2,3,3,0
33,1,1,1,6,3,3,3,0
33,1,1,1,7,6,4,3,1
33,1,1,1,8,4,4,2,2
33,1,1,1,9,5,4,2,1
33,1,1,1,10,3,3,1,2
33,1,1,1,11,1,1,1,2
33,1,1,1,12,2,2,3,2
34,0,1,1,1,1,1,1,2
34,0,1,1,2,6,3,2,0
34,0,1,1,3,5,3,2,0
34,0,1,1,4,4,3,2,0
34,0,1,1,5,2,2,1,1
34,0,1,1,6,3,2,1,0
34,0,1,1,7,6,3,3,0
34,0,1,1,8,4,3,1,1
34,0,1,1,9,5,2,1,1
34,0,1,1,10,3,2,1,2
34,0,1,1,11,1,1,1,2
34,0,1,1,12,2,2,2,1
35,1,1,1,1,1,1,2,1
35,1,1,1,2,6,5,3,0
35,1,1,1,3,5,5,3,0
35,1,1,1,4,4,4,3,0
35,1,1,1,5,2,3,3,0
35,1,1,1,6,3,3,3,1
35,1,1,1,7,6,4,3,1
35,1,1,1,8,4,4,3,1
35,1,1,1,9,5,3,3,1
35,1,1,1,10,3,3,3,1
35,1,1,1,11,1,1,1,2
35,1,1,1,12,2,2,2,1
36,1,1,1,1,1,1,1,2
36,1,1,1,2,6,3,3,0
36,1,1,1,3,5,3,3,0
36,1,1,1,4,4,3,3,0
36,1,1,1,5,2,2,3,2
36,1,1,1,6,3,3,1,1
36,1,1,1,7,6,4,3,1
36,1,1,1,8,4,4,3,1
36,1,1,1,9,5,4,3,1
36,1,1,1,10,3,3,3,1
36,1,1,1,11,1,1,1,2
36,1,1,1,12,2,2,3,1
37,1,1,1,1,1,1,3,2
37,1,1,1,2,6,3,3,0
37,1,1,1,3,5,4,3,0
37,1,1,1,4,4,3,3,0
37,1,1,1,5,2,2,3,0
37,1,1,1,6,3,4,3,0
37,1,1,1,7,6,4,3,0
37,1,1,1,8,4,4,3,0
37,1,1,1,9,5,4,3,0
37,1,1,1,10,3,3,3,1
37,1,1,1,11,1,1,3,2
37,1,1,1,12,2,2,3,0
38,1,1,1,1,1,1,1,1
38,1,1,1,2,6,2,2,1
38,1,1,1,3,5,3,2,0
38,1,1,1,4,4,3,3,2
38,1,1,1,5,2,2,3,1
38,1,1,1,6,3,2,2,2
38,1,1,1,7,6,3,3,1
38,1,1,1,8,4,3,3,2
38,1,1,1,9,5,3,3,2
38,1,1,1,10,3,3,2,2
38,1,1,1,11,1,1,2,2
38,1,1,1,12,2,2,2,2
39,0,0,0,1,1,2,3,1
39,0,0,0,2,6,3,2,0
39,0,0,0,3,5,4,3,0
39,0,0,0,4,4,0,0,1
39,0,0,0,5,2,2,2,1
39,0,0,0,6,3,4,3,1
39,0,0,0,7,6,2,2,1
39,0,0,0,8,4,2,2,1
39,0,0,0,9,5,3,3,0
39,0,0,0,10,3,3,2,0
39,0,0,0,11,1,1,1,2
39,0,0,0,12,2,2,2,2
40,1,0,1,1,1,1,3,1
40,1,0,1,2,6,3,3,0
40,1,0,1,3,5,3,3,2
40,1,0,1,4,4,3,3,2
40,1,0,1,5,2,1,3,1
40,1,0,1,6,3,3,3,2
40,1,0,1,7,6,3,3,0
40,1,0,1,8,4,4,3,1
40,1,0,1,9,5,4,3,2
40,1,0,1,10,3,3,1,2
40,1,0,1,11,1,1,2,2
40,1,0,1,12,2,2,1,2
41,0,1,1,1,1,1,3,1
41,0,1,1,2,6,2,3,1
41,0,1,1,3,5,2,3,0
41,0,1,1,4,4,2,3,0
41,0,1,1,5,2,2,3,0
41,0,1,1,6,3,3,3,0
41,0,1,1,7,6,3,3,0
41,0,1,1,8,4,3,3,0
41,0,1,1,9,5,3,3,0
41,0,1,1,10,3,2,3,0
41,0,1,1,11,1,1,2,2
41,0,1,1,12,2,2,3,0
42,1,1,1,1,1,1,2,2
42,1,1,1,2,6,5,3,0
42,1,1,1,3,5,4,2,0
42,1,1,1,4,4,3,2,0
42,1,1,1,5,2,4,3,0
42,1,1,1,6,3,4,3,0
42,1,1,1,7,6,4,3,1
42,1,1,1,8,4,4,3,1
42,1,1,1,9,5,4,3,0
42,1,1,1,10,3,3,3,2
42,1,1,1,11,1,1,1,2
42,1,1,1,12,2,2,3,2
43,0,1,1,1,1,1,3,1
43,0,1,1,2,6,5,3,0
43,0,1,1,3,5,4,2,0
43,0,1,1,4,4,4,2,0
43,0,1,1,5,2,3,2,0
43,0,1,1,6,3,3,3,0
43,0,1,1,7,6,5,2,0
43,0,1,1,8,4,4,3,0
43,0,1,1,9,5,5,2,0
43,0,1,1,10,3,3,3,0
43,0,1,1,11,1,1,3,2
43,0,1,1,12,2,2,2,1
44,1,1,1,1,1,2,2,2
44,1,1,1,2,6,3,2,1
44,1,1,1,3,5,3,2,0
44,1,1,1,4,4,4,2,1
44,1,1,1,5,2,3,2,1
44,1,1,1,6,3,3,3,2
44,1,1,1,7,6,4,3,2
44,1,1,1,8,4,3,3,2
44,1,1,1,9,5,3,3,2
44,1,1,1,10,3,3,2,2
44,1,1,1,11,1,1,1,2
44,1,1,1,12,2,2,3,2
45,1,1,1,1,1,1,2,1
45,1,1,1,2,6,3,3,1
45,1,1,1,3,5,4,3,0
45,1,1,1,4,4,4,3,0
45,1,1,1,5,2,2,3,1
45,1,1,1,6,3,3,3,0
45,1,1,1,7,6,4,2,1
45,1,1,1,8,4,3,3,1
45,1,1,1,9,5,4,3,1
45,1,1,1,10,3,3,3,1
45,1,1,1,11,1,1,1,2
45,1,1,1,12,2,2,3,1
46,1,0,1,1,1,1,1,2
46,1,0,1,2,6,3,2,1
46,1,0,1,3,5,5,3,0
46,1,0,1,4,4,3,2,1
46,1,0,1,5,2,3,3,0
46,1,0,1,6,3,2,3,2
46,1,0,1,7,6,3,2,2
46,1,0,1,8,4,3,3,1
46,1,0,1,9,5,4,3,1
46,1,0,1,10,3,2,3,2
46,1,0,1,11,1,1,1,2
46,1,0,1,12,2,1,3,1
47,1,1,1,1,1,1,1,2
47,1,1,1,2,6,3,3,1
47,1,1,1,3,5,4,3,1
47,1,1,1,4,4,3,2,1
47,1,1,1,5,2,2,2,1
47,1,1,1,6,3,4,3,1
47,1,1,1,7,6,4,3,2
47,1,1,1,8,4,2,2,2
47,1,1,1,9,5,4,3,2
47,1,1,1,10,3,3,1,2
47,1,1,1,11,1,1,1,2
47,1,1,1,12,2,2,1,2
48,0,0,1,1,1,1,2,1
48,0,0,1,2,6,4,3,0
48,0,0,1,3,5,2,3,0
48,0,0,1,4,4,2,3,0
48,0,0,1,5,2,2,3,0
48,0,0,1,6,3,2,1,1
48,0,0,1,7,6,3,3,1
48,0,0,1,8,4,3,3,1
48,0,0,1,9,5,3,3,1
48,0,0,1,10,3,2,1,1
48,0,0,1,11,1,1,1,2
48,0,0,1,12,2,2,2,1
49,0,0,0,1,1,1,3,0
49,0,0,0,2,6,3,3,0
49,0,0,0,3,5,3,3,0
49,0,0,0,4,4,2,3,1
49,0,0,0,5,2,2,3,2
49,0,0,0,6,3,2,3,1
49,0,0,0,7,6,4,3,1
49,0,0,0,8,4,3,3,1
49,0,0,0,9,5,4,3,1
49,0,0,0,10,3,3,3,1
49,0,0,0,11,1,1,3,2
49,0,0,0,12,2,2,3,1
50,0,0,0,1,1,2,3,1
50,0,0,0,2,6,4,3,0
50,0,0,0,3,5,2,3,0
50,0,0,0,4,4,2,2,1
50,0,0,0,5,2,1,2,1
50,0,0,0,6,3,2,3,0
50,0,0,0,7,6,2,3,0
50,0,0,0,8,4,3,3,1
50,0,0,0,9,5,3,3,0
50,0,0,0,10,3,3,2,1
50,0,0,0,11,1,1,2,2
50,0,0,0,12,2,2,2,1
51,1,1,1,1,1,1,3,2
51,1,1,1,2,6,6,3,1
51,1,1,1,3,5,4,3,1
51,1,1,1,4,4,4,3,0
51,1,1,1,5,2,2,3,0
51,1,1,1,6,3,4,3,2
51,1,1,1,7,6,4,3,1
51,1,1,1,8,4,4,3,2
51,1,1,1,9,5,4,3,2
51,1,1,1,10,3,3,3,2
51,1,1,1,11,1,1,1,2
51,1,1,1,12,2,2,3,2
52,0,1,1,1,1,1,1,2
52,0,1,1,2,6,2,1,1
52,0,1,1,3,5,3,3,0
52,0,1,1,4,4,2,3,1
52,0,1,1,5,2,1,3,0
52,0,1,1,6,3,2,3,1
52,0,1,1,7,6,2,1,2
52,0,1,1,8,4,3,3,2
52,0,1,1,9,5,2,3,1
52,0,1,1,10,3,2,3,2
52,0,1,1,11,1,1,1,2
52,0,1,1,12,2,2,3,2
53,1,1,1,1,1,1,2,1
53,1,1,1,2,6,3,3,1
53,1,1,1,3,5,4,3,0
53,1,1,1,4,4,4,3,0
53,1,1,1,5,2,2,3,1
53,1,1,1,6,3,4,3,1
53,1,1,1,7,6,3,3,0
53,1,1,1,8,4,3,3,0
53,1,1,1,9,5,4,3,1
53,1,1,1,10,3,2,3,1
53,1,1,1,11,1,1,1,2
53,1,1,1,12,2,2,2,1
54,1,1,0,1,1,1,2,1
54,1,1,0,2,6,3,3,1
54,1,1,0,3,5,4,3,1
54,1,1,0,4,4,3,3,1
54,1,1,0,5,2,2,3,1
54,1,1,0,6,3,2,3,1
54,1,1,0,7,6,4,3,1
54,1,1,0,8,4,4,3,1
54,1,1,0,9,5,3,3,2
54,1,1,0,10,3,2,3,2
54,1,1,0,11,1,1,2,2
54,1,1,0,12,2,2,3,2
55,1,0,0,1,1,2,2,2
55,1,0,0,2,6,3,3,1
55,1,0,0,3,5,3,2,2
55,1,0,0,4,4,2,2,1
55,1,0,0,5,2,1,2,0
55,1,0,0,6,3,2,3,1
55,1,0,0,7,6,3,2,2
55,1,0,0,8,4,3,2,2
55,1,0,0,9,5,4,3,1
55,1,0,0,10,3,3,2,1
55,1,0,0,11,1,1,1,2
55,1,0,0,12,2,2,1,2
56,0,1,1,1,1,1,2,1
56,0,1,1,2,6,3,3,0
56,0,1,1,3,5,3,2,0
56,0,1,1,4,4,2,3,1
56,0,1,1,5,2,2,3,0
56,0,1,1,6,3,3,2,1
56,0,1,1,7,6,3,2,0
56,0,1,1,8,4,3,3,0
56,0,1,1,9,5,3,3,1
56,0,1,1,10,3,3,2,1
56,0,1,1,11,1,1,2,2
56,0,1,1,12,2,2,3,0
57,0,1,1,1,1,1,2,2
57,0,1,1,2,6,3,2,1
57,0,1,1,3,5,1,2,1
57,0,1,1,4,4,3,3,1
57,0,1,1,5,2,3,3,1
57,0,1,1,6,3,2,2,2
57,0,1,1,7,6,2,3,1
57,0,1,1,8,4,2,2,2
57,0,1,1,9,5,3,3,2
57,0,1,1,10,3,2,3,2
57,0,1,1,11,1,1,1,2
57,0,1,1,12,2,2,2,2
58,1,1,0,1,1,1,1,2
58,1,1,0,2,6,4,3,0
58,1,1,0,3,5,3,3,0
58,1,1,0,4,4,3,3,1
58,1,1,0,5,2,1,1,2
58,1,1,0,6,3,3,2,1
58,1,1,0,7,6,4,2,2
58,1,1,0,8,4,3,3,2
58,1,1,0,9,5,3,1,2
58,1,1,0,10,3,3,1,2
58,1,1,0,11,1,1,1,2
58,1,1,0,12,2,2,1,2
59,0,0,1,1,1,1,1,1
59,0,0,1,2,6,2,3,0
59,0,0,1,3,5,2,2,1
59,0,0,1,4,4,3,2,0
59,0,0,1,5,2,2,3,0
59,0,0,1,6,3,2,3,0
59,0,0,1,7,6,2,2,0
59,0,0,1,8,4,1,2,1
59,0,0,1,9,5,3,2,0
59,0,0,1,10,3,2,1,1
59,0,0,1,11,1,1,1,2
59,0,0,1,12,2,2,3,1
60,1,0,1,1,1,2,3,1
60,1,0,1,2,6,3,3,1
60,1,0,1,3,5,3,3,1
60,1,0,1,4,4,3,3,1
60,1,0,1,5,2,2,3,1
60,1,0,1,6,3,3,3,1
60,1,0,1,7,6,4,3,0
60,1,0,1,8,4,3,3,1
60,1,0,1,9,5,4,3,1
60,1,0,1,10,3,3,3,1
60,1,0,1,11,1,1,2,1
60,1,0,1,12,2,2,3,0
61,1,1,1,1,1,1,2,2
61,1,1,1,2,6,4,3,1
61,1,1,1,3,5,3,1,0
61,1,1,1,4,4,3,1,1
61,1,1,1,5,2,2,1,2
61,1,1,1,6,3,3,1,2
61,1,1,1,7,6,5,3,1
61,1,1,1,8,4,4,2,1
61,1,1,1,9,5,4,3,1
61,1,1,1,10,3,3,1,2
61,1,1,1,11,1,1,1,2
61,1,1,1,12,2,2,1,2
62,1,1,1,1,1,2,2,2
62,1,1,1,2,6,5,3,0
62,1,1,1,3,5,4,3,0
62,1,1,1,4,4,3,3,1
62,1,1,1,5,2,2,3,2
62,1,1,1,6,3,3,3,2
62,1,1,1,7,6,4,3,1
62,1,1,1,8,4,4,3,1
62,1,1,1,9,5,3,3,1
62,1,1,1,10,3,3,3,2
62,1,1,1,11,1,1,2,2
62,1,1,1,12,2,2,3,2
63,0,0,0,1,1,2,2,1
63,0,0,0,2,6,4,3,0
63,0,0,0,3,5,3,2,0
63,0,0,0,4,4,2,2,1
63,0,0,0,5,2,2,3,0
63,0,0,0,6,3,2,3,1
63,0,0,0,7,6,3,3,1
63,0,0,0,8,4,3,2,2
63,0,0,0,9,5,4,2,1
63,0,0,0,10,3,2,2,1
63,0,0,0,11,1,1,2,2
63,0,0,0,12,2,2,2,2
64,1,1,1,1,1,1,1,2
64,1,1,1,2,6,3,2,0
64,1,1,1,3,5,4,2,0
64,1,1,1,4,4,4,2,1
64,1,1,1,5,2,1,3,1
64,1,1,1,6,3,3,3,0
64,1,1,1,7,6,4,2,1
64,1,1,1,8,4,3,2,1
64,1,1,1,9,5,5,2,0
64,1,1,1,10,3,3,2,1
64,1,1,1,11,1,1,1,2
64,1,1,1,12,2,2,2,1
65,1,0,0,1,1,1,2,2
65,1,0,0,2,6,3,3,0
65,1,0,0,3,5,2,2,1
65,1,0,0,4,4,2,3,1
65,1,0,0,5,2,1,2,2
65,1,0,0,6,3,3,2,1
65,1,0,0,7,6,4,3,0
65,1,0,0,8,4,2,3,0
65,1,0,0,9,5,3,3,0
65,1,0,0,10,3,3,3,2
65,1,0,0,11,1,1,2,2
65,1,0,0,12,2,2,2,2
66,1,1,1,1,1,1,1,1
66,1,1,1,2,6,5,3,0
66,1,1,1,3,5,6,3,0
66,1,1,1,4,4,4,2,1
66,1,1,1,5,2,4,1,1
66,1,1,1,6,3,4,3,1
66,1,1,1,7,6,4,3,1
66,1,1,1,8,4,5,3,1
66,1,1,1,9,5,5,3,0
66,1,1,1,10,3,3,3,1
66,1,1,1,11,1,1,2,1
66,1,1,1,12,2,2,3,1
67,1,1,1,1,1,1,1,2
67,1,1,1,2,6,4,3,0
67,1,1,1,3,5,4,2,0
67,1,1,1,4,4,4,3,0
67,1,1,1,5,2,2,2,1
67,1,1,1,6,3,4,3,1
67,1,1,1,7,6,4,2,1
67,1,1,1,8,4,4,3,1
67,1,1,1,9,5,4,3,1
67,1,1,1,10,3,3,2,1
67,1,1,1,11,1,1,1,2
67,1,1,1,12,2,2,2,2
68,1,1,1,1,1,1,2,2
68,1,1,1,2,6,2,3,0
68,1,1,1,3,5,3,3,0
68,1,1,1,4,4,3,3,0
68,1,1,1,5,2,2,3,2
68,1,1,1,6,3,3,3,0
68,1,1,1,7,6,4,3,1
68,1,1,1,8,4,4,3,1
68,1,1,1,9,5,4,3,0
68,1,1,1,10,3,3,3,1
68,1,1,1,11,1,1,3,1
68,1,1,1,12,2,2,2,2
69,1,1,1,1,1,2,3,2
69,1,1,1,2,6,3,3,0
69,1,1,1,3,5,4,3,0
69,1,1,1,4,4,3,3,1
69,1,1,1,5,2,2,3,0
69,1,1,1,6,3,3,3,1
69,1,1,1,7,6,4,3,1
69,1,1,1,8,4,4,3,1
69,1,1,1,9,5,4,3,0
69,1,1,1,10,3,3,3,1
69,1,1,1,11,1,1,3,2
69,1,1,1,12,2,2,3,2
70,0,1,1,1,1,1,3,1
70,0,1,1,2,6,4,3,0
70,0,1,1,3,5,3,3,0
70,0,1,1,4,4,4,3,0
70,0,1,1,5,2,2,3,0
70,0,1,1,6,3,3,3,0
70,0,1,1,7,6,4,3,0
70,0,1,1,8,4,3,3,0
70,0,1,1,9,5,5,3,0
70,0,1,1,10,3,3,3,0
70,0,1,1,11,1,1,3,1
70,0,1,1,12,2,2,3,1
71,1,1,1,1,1,1,1,2
71,1,1,1,2,6,5,2,0
71,1,1,1,3,5,4,3,1
71,1,1,1,4,4,4,3,1
71,1,1,1,5,2,2,2,1
71,1,1,1,6,3,3,2,1
71,1,1,1,7,6,4,3,2
71,1,1,1,8,4,3,3,1
71,1,1,1,9,5,3,1,2
71,1,1,1,10,3,3,3,2
71,1,1,1,11,1,1,1,2
71,1,1,1,12,2,2,1,2
72,0,0,0,1,1,1,3,1
72,0,0,0,2,6,3,3,0
72,0,0,0,3,5,3,3,0
72,0,0,0,4,4,4,3,1
72,0,0,0,5,2,2,3,0
72,0,0,0,6,3,3,3,1
72,0,0,0,7,6,4,3,1
72,0,0,0,8,4,3,3,0
72,0,0,0,9,5,3,3,1
72,0,0,0,10,3,3,2,1
72,0,0,0,11,1,1,3,1
72,0,0,0,12,2,2,3,1
73,0,0,0,1,1,1,2,2
73,0,0,0,2,6,3,3,0
73,0,0,0,3,5,2,3,0
73,0,0,0,4,4,3,2,0
73,0,0,0,5,2,2,3,0
73,0,0,0,6,3,2,3,0
73,0,0,0,7,6,3,3,0
73,0,0,0,8,4,3,3,0
73,0,0,0,9,5,3,3,0
73,0,0,0,10,3,2,3,1
73,0,0,0,11,1,1,1,2
73,0,0,0,12,2,2,3,1
74,0,1,1,1,1,1,2,2
74,0,1,1,2,6,3,3,0
74,0,1,1,3,5,2,2,1
74,0,1,1,4,4,1,3,1
74,0,1,1,5,2,1,3,1
74,0,1,1,6,3,2,3,1
74,0,1,1,7,6,2,3,0
74,0,1,1,8,4,3,2,1
74,0,1,1,9,5,3,3,1
74,0,1,1,10,3,2,1,1
74,0,1,1,11,1,1,1,2
74,0,1,1,12,2,1,3,1
75,0,0,0,1,1,2,3,1
75,0,0,0,2,6,5,3,0
75,0,0,0,3,5,4,3,1
75,0,0,0,4,4,3,3,1
75,0,0,0,5,2,4,3,1
75,0,0,0,6,3,2,3,1
75,0,0,0,7,6,3,3,0
75,0,0,0,8,4,5,3,0
75,0,0,0,9,5,4,2,0
75,0,0,0,10,3,2,3,1
75,0,0,0,11,1,1,1,2
75,0,0,0,12,2,2,3,0
76,0,0,0,1,1,2,3,0
76,0,0,0,2,6,4,3,0
76,0,0,0,3,5,4,3,0
76,0,0,0,4,4,3,3,0
76,0,0,0,5,2,2,3,0
76,0,0,0,6,3,2,3,0
76,0,0,0,7,6,3,3,0
76,0,0,0,8,4,3,3,0
76,0,0,0,9,5,3,3,0
76,0,0,0,10,3,3,3,0
76,0,0,0,11,1,1,3,1
76,0,0,0,12,2,2,3,0
78,0,1,1,1,1,1,3,2
78,0,1,1,2,6,3,3,2
78,0,1,1,3,5,3,3,1
78,0,1,1,4,4,3,2,0
78,0,1,1,5,2,1,2,0
78,0,1,1,6,3,3,1,2
78,0,1,1,7,6,4,1,2
78,0,1,1,8,4,4,3,2
78,0,1,1,9,5,4,2,1
78,0,1,1,10,3,2,2,0
78,0,1,1,11,1,1,1,2
78,0,1,1,12,2,2,2,1
